"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"231",ETH,Ethiopia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","119.857"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"232",ERI,Eritrea,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","118.163"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"233",EST,Estonia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","136.026"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"242",FJI,Fiji,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","125.984"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"246",FIN,Finland,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","125.405"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"250",FRA,France,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","122.881"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"258",PYF,French Polynesia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","116.714"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"262",DJI,Djibouti,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","136.283"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"266",GAB,Gabon,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,E,Estimate,"","101.246"
Merchandise trade - indices and prices,ITS_MTP_AM,Merchandise import value chained indices - annual,"268",GEO,Georgia,"000","",World,SITC3,Merchandise - SITC Revision 3 (aggregates),TO,Total merchandise,A,Annual,A,Annual,IDP,Previous year=100,2021,"","","","125.089"
